[08:57:08] Episode 7 | Step 17 | Defender gained 15.0 reward | Detection: 0.3
[08:57:08] Episode 7 | Step 18 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 7 | Step 22 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 7 | Step 24 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 7 | Step 27 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 8 | Step 2 | Defender gained 15.0 reward | Detection: 0.1
[08:57:08] Episode 8 | Step 4 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 9 | Step 8 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 9 | Step 14 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 9 | Step 15 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 9 | Step 18 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 9 | Step 19 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 9 | Step 24 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 9 | Step 26 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 9 | Step 28 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 9 | Step 28 | Defender gained 20.0 reward | Detection: 0.2
[08:57:08] Episode 9 | Step 29 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 9 | Step 34 | Attacker gained 150.0 reward | Position: N4
[08:57:08] Episode 10 | Step 2 | Defender gained 15.0 reward | Detection: 0.1
[08:57:08] Episode 10 | Step 16 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 10 | Step 16 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 10 | Step 20 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 10 | Step 21 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 10 | Step 28 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 10 | Step 29 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 10 | Step 31 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 10 | Step 41 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 10 | Step 42 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 10 | Step 42 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 10 | Step 43 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 10 | Step 44 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 10 | Step 45 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 10 | Step 46 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 10 | Step 47 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 11 | Step 1 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 11 | Step 1 | Defender gained 20.0 reward | Detection: 0.1
[08:57:08] Episode 11 | Step 3 | Defender gained 20.0 reward | Detection: 0.1
[08:57:08] Episode 11 | Step 8 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 11 | Step 9 | Defender gained 20.0 reward | Detection: 0.2
[08:57:08] Episode 11 | Step 10 | Defender gained 20.0 reward | Detection: 0.2
[08:57:08] Episode 11 | Step 11 | Defender gained 20.0 reward | Detection: 0.2
[08:57:08] Episode 11 | Step 13 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 11 | Step 15 | Defender gained 15.0 reward | Detection: 0.2
[08:57:08] Episode 11 | Step 16 | Attacker gained 20.0 reward | Position: N3
